2026-05-12 22:56:21
20260512 233903.631 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260512 233903.631 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260512 233903.631 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260512 233903.631 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260512 233903.632 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260512 233903.632 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260512 233903.632 INFO             PET0 Running with ESMF Version   : v9.0.0b13
20260512 233903.632 INFO             PET0 ESMF library build date/time: "May 12 2026" "22:54:03"
20260512 233903.632 INFO             PET0 ESMF library build location : /discover/nobackup/projects/gmao/SIteam/ESMF_Testing/gfortran_14.2.0_openmpi_g_develop/esmf
20260512 233903.632 INFO             PET0 ESMF_COMM                   : openmpi
20260512 233903.632 INFO             PET0 ESMF_MOAB                   : enabled
20260512 233903.632 INFO             PET0 ESMF_LAPACK                 : enabled
20260512 233903.632 INFO             PET0 ESMF_NETCDF                 : enabled
20260512 233903.632 INFO             PET0 ESMF_PNETCDF                : disabled
20260512 233903.632 INFO             PET0 ESMF_PIO                    : enabled
20260512 233903.632 INFO             PET0 ESMF_YAMLCPP                : enabled
20260512 233903.633 INFO             PET0 esmApp STARTING
20260512 233903.655 INFO             PET0 esm: InitializeGeneric intro.
20260512 233903.655 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260512 233903.655 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260512 233903.655 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260512 233903.655 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260512 233903.655 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260512 233903.655 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260512 233903.655 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260512 233903.655 INFO             PET0   esm: InitializeP0 intro.
20260512 233903.655 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260512 233903.655 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260512 233903.655 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260512 233903.655 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260512 233903.655 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260512 233903.655 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260512 233903.655 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260512 233903.655 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) without valid internal Clock.
20260512 233903.655 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260512 233903.655 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260512 233903.655 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260512 233903.655 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260512 233903.655 INFO             PET0     esm: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
20260512 233903.655 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() end -------------------
20260512 233903.655 INFO             PET0   esm: InitializeP0 extro.
20260512 233903.655 INFO             PET0   esm: InitializeIPDv02p1 intro.
20260512 233903.655 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() start -----------------
20260512 233903.655 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:State object is invalid! Not created or deleted!
