2026-08-01 07:32:24
20260801 082646.971 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260801 082646.971 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260801 082646.971 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260801 082646.971 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260801 082646.972 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260801 082646.972 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260801 082646.972 INFO             PET0 Running with ESMF Version   : develop+g02ff1b231d
20260801 082646.972 INFO             PET0 ESMF library build date/time: "Aug  1 2026" "07:29:30"
20260801 082646.972 INFO             PET0 ESMF library build location : /scratch3/NCEPDEV/stmp/Gerhard.Theurich/ESMF-Nightly-Testing-Hera/intel_2023.2.0-oneAPI_intelmpi_g_develop/esmf
20260801 082646.972 INFO             PET0 ESMF_COMM                   : intelmpi
20260801 082646.972 INFO             PET0 ESMF_MOAB                   : enabled
20260801 082646.972 INFO             PET0 ESMF_LAPACK                 : enabled
20260801 082646.972 INFO             PET0 ESMF_NETCDF                 : enabled
20260801 082646.972 INFO             PET0 ESMF_PNETCDF                : disabled
20260801 082646.972 INFO             PET0 ESMF_PIO                    : enabled
20260801 082646.972 INFO             PET0 ESMF_YAMLCPP                : enabled
20260801 082646.973 INFO             PET0 esmApp STARTING
20260801 082646.996 INFO             PET0 esm: InitializeGeneric intro.
20260801 082646.996 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260801 082646.996 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260801 082646.996 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260801 082646.996 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260801 082646.996 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260801 082646.996 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260801 082646.996 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
