2026-06-06 07:28:42
20260606 082933.510 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260606 082933.510 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260606 082933.510 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260606 082933.510 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260606 082933.511 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260606 082933.511 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260606 082933.511 INFO             PET0 Running with ESMF Version   : develop+gf183dd1f0b
20260606 082933.511 INFO             PET0 ESMF library build date/time: "Jun  6 2026" "07:25:56"
20260606 082933.511 INFO             PET0 ESMF library build location : /scratch3/NCEPDEV/stmp/Gerhard.Theurich/ESMF-Nightly-Testing-Hera/intel_2023.2.0_intelmpi_g_develop/esmf
20260606 082933.511 INFO             PET0 ESMF_COMM                   : intelmpi
20260606 082933.511 INFO             PET0 ESMF_MOAB                   : enabled
20260606 082933.511 INFO             PET0 ESMF_LAPACK                 : enabled
20260606 082933.511 INFO             PET0 ESMF_NETCDF                 : enabled
20260606 082933.511 INFO             PET0 ESMF_PNETCDF                : disabled
20260606 082933.511 INFO             PET0 ESMF_PIO                    : enabled
20260606 082933.511 INFO             PET0 ESMF_YAMLCPP                : enabled
20260606 082933.512 INFO             PET0 esmApp STARTING
20260606 082933.531 INFO             PET0 esm: InitializeGeneric intro.
20260606 082933.531 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260606 082933.531 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260606 082933.531 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260606 082933.531 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260606 082933.531 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260606 082933.531 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260606 082933.531 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260606 082933.531 INFO             PET0   esm: InitializeP0 intro.
20260606 082933.531 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260606 082933.531 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260606 082933.531 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260606 082933.531 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260606 082933.531 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260606 082933.531 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260606 082933.532 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260606 082933.532 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) without valid internal Clock.
20260606 082933.532 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260606 082933.532 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260606 082933.532 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260606 082933.532 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260606 082933.532 INFO             PET0     esm: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
20260606 082933.532 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() end -------------------
20260606 082933.532 INFO             PET0   esm: InitializeP0 extro.
20260606 082933.532 INFO             PET0   esm: InitializeIPDv02p1 intro.
20260606 082933.532 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() start -----------------
20260606 082933.532 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:State object is invalid! Not created or deleted!
20260606 082933.532 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() end -------------------
20260606 082933.532 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() start -----------------
20260606 082933.532 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:State object is invalid! Not created or deleted!
20260606 082933.532 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() end -------------------
20260606 082933.533 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260606 082933.616 INFO             PET0     esm - Creating state: modelComp 1 Import State
20260606 082933.616 INFO             PET0     esm - Creating state: modelComp 1 Export State
20260606 082933.618 INFO             PET0     esm - Creating state: modelComp 2 Import State
20260606 082933.618 INFO             PET0     esm - Creating state: modelComp 2 Export State
20260606 082933.619 INFO             PET0     esm - Creating state: modelComp 3 Import State
20260606 082933.620 INFO             PET0     esm - Creating state: modelComp 3 Export State
20260606 082933.624 INFO             PET0     ATM: InitializeP0 intro.
20260606 082933.626 INFO             PET0     ATM: InitializeP0 extro.
20260606 082933.627 INFO             PET0     OCN: InitializeP0 intro.
20260606 082933.629 INFO             PET0     OCN: InitializeP0 extro.
20260606 082933.629 INFO             PET0     LND: InitializeP0 intro.
20260606 082933.632 INFO             PET0     LND: InitializeP0 extro.
20260606 082933.637 INFO             PET0     ATM-TO-OCN: InitializeP0 intro.
20260606 082933.638 INFO             PET0     ATM-TO-OCN: InitializeP0 extro.
20260606 082933.640 INFO             PET0     ATM-TO-LND: InitializeP0 intro.
20260606 082933.641 INFO             PET0     ATM-TO-LND: InitializeP0 extro.
20260606 082933.643 INFO             PET0     OCN-TO-ATM: InitializeP0 intro.
20260606 082933.644 INFO             PET0     OCN-TO-ATM: InitializeP0 extro.
20260606 082933.645 INFO             PET0     LND-TO-ATM: InitializeP0 intro.
20260606 082933.647 INFO             PET0     LND-TO-ATM: InitializeP0 extro.
20260606 082933.658 INFO             PET0     esm: IInitAdvertise intro.
20260606 082933.658 INFO             PET0     esm: IInitAdvertise extro.
20260606 082933.659 INFO             PET0     ATM: InitializeIPDvXp01 intro.
20260606 082933.665 INFO             PET0     ATM: InitializeIPDvXp01 extro.
20260606 082933.665 INFO             PET0     OCN: InitializeIPDvXp01 intro.
20260606 082933.670 INFO             PET0     OCN: InitializeIPDvXp01 extro.
20260606 082933.671 INFO             PET0     LND: InitializeIPDvXp01 intro.
20260606 082933.671 INFO             PET0     LND: InitializeIPDvXp01 extro.
20260606 082933.676 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 intro.
20260606 082933.676 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 extro.
20260606 082933.677 INFO             PET0     ATM-TO-LND: InitializeIPDv05p1 intro.
20260606 082933.677 INFO             PET0     ATM-TO-LND: InitializeIPDv05p1 extro.
20260606 082933.677 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p1 intro.
20260606 082933.678 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p1 extro.
20260606 082933.678 INFO             PET0     LND-TO-ATM: InitializeIPDv05p1 intro.
20260606 082933.678 INFO             PET0     LND-TO-ATM: InitializeIPDv05p1 extro.
20260606 082933.679 INFO             PET0     esm: IInitAdvertiseFinish intro.
20260606 082933.679 INFO             PET0     esm: IInitAdvertiseFinish extro.
20260606 082933.680 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2a intro.
20260606 082933.681 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2a extro.
20260606 082933.681 INFO             PET0     ATM-TO-LND: InitializeIPDv05p2a intro.
20260606 082933.681 INFO             PET0     ATM-TO-LND: InitializeIPDv05p2a extro.
20260606 082933.682 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2a intro.
20260606 082933.682 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2a extro.
20260606 082933.683 INFO             PET0     LND-TO-ATM: InitializeIPDv05p2a intro.
20260606 082933.683 INFO             PET0     LND-TO-ATM: InitializeIPDv05p2a extro.
20260606 082933.683 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2b intro.
20260606 082933.684 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2b extro.
20260606 082933.685 INFO             PET0     ATM-TO-LND: InitializeIPDv05p2b intro.
20260606 082933.685 INFO             PET0     ATM-TO-LND: InitializeIPDv05p2b extro.
20260606 082933.686 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2b intro.
20260606 082933.686 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2b extro.
20260606 082933.687 INFO             PET0     LND-TO-ATM: InitializeIPDv05p2b intro.
20260606 082933.687 INFO             PET0     LND-TO-ATM: InitializeIPDv05p2b extro.
20260606 082933.688 INFO             PET0     esm: IInitModifyCplLists intro.
20260606 082933.689 INFO             PET0     esm: IInitModifyCplLists extro.
20260606 082933.689 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p3 intro.
20260606 082933.691 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p3 extro.
20260606 082933.692 INFO             PET0     ATM-TO-LND: InitializeIPDv05p3 intro.
20260606 082933.692 INFO             PET0     ATM-TO-LND: InitializeIPDv05p3 extro.
20260606 082933.693 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p3 intro.
20260606 082933.694 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p3 extro.
20260606 082933.694 INFO             PET0     LND-TO-ATM: InitializeIPDv05p3 intro.
20260606 082933.695 INFO             PET0     LND-TO-ATM: InitializeIPDv05p3 extro.
20260606 082933.695 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260606 082933.695 INFO             PET0     esm: InitializeIPDv02p1 extro {IS}:--- StateLog() start -----------------
20260606 082933.695 INFO             PET0     esm: InitializeIPDv02p1 extro {IS}:State object is invalid! Not created or deleted!
20260606 082933.695 INFO             PET0     esm: InitializeIPDv02p1 extro {IS}:--- StateLog() end -------------------
20260606 082933.695 INFO             PET0     esm: InitializeIPDv02p1 extro {ES}:--- StateLog() start -----------------
