2026-06-04 01:33:20
20260604 020739.115 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260604 020739.115 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260604 020739.115 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260604 020739.115 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260604 020739.116 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260604 020739.116 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260604 020739.116 INFO             PET0 Running with ESMF Version   : develop+gf183dd1f0b
20260604 020739.116 INFO             PET0 ESMF library build date/time: "Jun  4 2026" "01:31:21"
20260604 020739.116 INFO             PET0 ESMF library build location : /glade/derecho/scratch/sacks/esmf-testing/intel_2024.2.1_mpi_O_develop/esmf
20260604 020739.116 INFO             PET0 ESMF_COMM                   : mpi
20260604 020739.116 INFO             PET0 ESMF_MOAB                   : enabled
20260604 020739.116 INFO             PET0 ESMF_LAPACK                 : enabled
20260604 020739.116 INFO             PET0 ESMF_NETCDF                 : enabled
20260604 020739.116 INFO             PET0 ESMF_PNETCDF                : disabled
20260604 020739.116 INFO             PET0 ESMF_PIO                    : enabled
20260604 020739.116 INFO             PET0 ESMF_YAMLCPP                : enabled
20260604 020739.116 INFO             PET0 esmApp STARTING
20260604 020739.136 INFO             PET0 esm: InitializeGeneric intro.
20260604 020739.136 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260604 020739.136 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260604 020739.136 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260604 020739.136 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260604 020739.136 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260604 020739.136 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260604 020739.136 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260604 020739.136 INFO             PET0   esm: InitializeP0 intro.
20260604 020739.136 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260604 020739.136 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260604 020739.136 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260604 020739.136 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260604 020739.136 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260604 020739.136 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260604 020739.136 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260604 020739.136 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) without valid internal Clock.
20260604 020739.136 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260604 020739.136 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
