2026-05-09 22:47:03
20260510 001703.448 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260510 001703.448 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260510 001703.448 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260510 001703.448 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260510 001703.449 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260510 001703.449 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260510 001703.449 INFO             PET0 Running with ESMF Version   : v9.0.0b13
20260510 001703.449 INFO             PET0 ESMF library build date/time: "May  9 2026" "22:43:37"
20260510 001703.449 INFO             PET0 ESMF library build location : /discover/nobackup/projects/gmao/SIteam/ESMF_Testing/llvm_22.1.0_mpich_g_develop/esmf
20260510 001703.449 INFO             PET0 ESMF_COMM                   : mpich
20260510 001703.449 INFO             PET0 ESMF_MOAB                   : enabled
20260510 001703.449 INFO             PET0 ESMF_LAPACK                 : enabled
20260510 001703.449 INFO             PET0 ESMF_NETCDF                 : disabled
20260510 001703.449 INFO             PET0 ESMF_PNETCDF                : disabled
20260510 001703.449 INFO             PET0 ESMF_PIO                    : disabled
20260510 001703.449 INFO             PET0 ESMF_YAMLCPP                : enabled
20260510 001703.449 INFO             PET0 esmApp STARTING
20260510 001703.458 INFO             PET0 esm: InitializeGeneric intro.
20260510 001703.458 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260510 001703.458 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.458 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260510 001703.458 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260510 001703.458 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.458 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260510 001703.459 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260510 001703.459 INFO             PET0   esm: InitializeP0 intro.
20260510 001703.459 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260510 001703.459 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.459 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260510 001703.459 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260510 001703.459 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.459 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260510 001703.459 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260510 001703.459 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) without valid internal Clock.
20260510 001703.459 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260510 001703.459 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260510 001703.459 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260510 001703.459 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260510 001703.459 INFO             PET0     esm: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
20260510 001703.459 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() end -------------------
20260510 001703.459 INFO             PET0   esm: InitializeP0 extro.
20260510 001703.459 INFO             PET0   esm: InitializeIPDv02p1 intro.
20260510 001703.459 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() start -----------------
20260510 001703.459 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.459 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() end -------------------
20260510 001703.459 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() start -----------------
20260510 001703.460 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.460 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() end -------------------
20260510 001703.460 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260510 001703.461 INFO             PET0     esm - Creating model component ATM without petList.
20260510 001703.464 INFO             PET0     esm - Creating model component OCN without petList.
20260510 001703.467 INFO             PET0     esm - Creating connector component ATM-TO-OCN without petList.
20260510 001703.473 INFO             PET0     esm - Creating connector component OCN-TO-ATM without petList.
20260510 001703.478 INFO             PET0     esm - Creating state: modelComp 1 Import State
20260510 001703.478 INFO             PET0     esm - Creating state: modelComp 1 Export State
20260510 001703.479 INFO             PET0     esm - Creating state: modelComp 2 Import State
20260510 001703.479 INFO             PET0     esm - Creating state: modelComp 2 Export State
20260510 001703.481 INFO             PET0     ATM: InitializeP0 intro.
20260510 001703.482 INFO             PET0     ATM: InitializeP0 extro.
20260510 001703.482 INFO             PET0     OCN: InitializeP0 intro.
20260510 001703.483 INFO             PET0     OCN: InitializeP0 extro.
20260510 001703.485 INFO             PET0     ATM-TO-OCN: InitializeP0 intro.
20260510 001703.486 INFO             PET0     ATM-TO-OCN: InitializeP0 extro.
20260510 001703.486 INFO             PET0     OCN-TO-ATM: InitializeP0 intro.
20260510 001703.487 INFO             PET0     OCN-TO-ATM: InitializeP0 extro.
20260510 001703.489 INFO             PET0     esm: IInitAdvertise intro.
20260510 001703.489 INFO             PET0       esm: IInitAdvertise intro {IS}:--- StateLog() start -----------------
20260510 001703.489 INFO             PET0       esm: IInitAdvertise intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.489 INFO             PET0       esm: IInitAdvertise intro {IS}:--- StateLog() end -------------------
20260510 001703.489 INFO             PET0       esm: IInitAdvertise intro {ES}:--- StateLog() start -----------------
20260510 001703.489 INFO             PET0       esm: IInitAdvertise intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.489 INFO             PET0       esm: IInitAdvertise intro {ES}:--- StateLog() end -------------------
20260510 001703.489 INFO             PET0       >>>esm: entered Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.489 INFO             PET0       <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.489 INFO             PET0       esm: IInitAdvertise extro {IS}:--- StateLog() start -----------------
20260510 001703.489 INFO             PET0       esm: IInitAdvertise extro {IS}:State object is invalid! Not created or deleted!
20260510 001703.489 INFO             PET0       esm: IInitAdvertise extro {IS}:--- StateLog() end -------------------
20260510 001703.489 INFO             PET0       esm: IInitAdvertise extro {ES}:--- StateLog() start -----------------
20260510 001703.489 INFO             PET0       esm: IInitAdvertise extro {ES}:State object is invalid! Not created or deleted!
20260510 001703.489 INFO             PET0       esm: IInitAdvertise extro {ES}:--- StateLog() end -------------------
20260510 001703.489 INFO             PET0     esm: IInitAdvertise extro.
20260510 001703.489 INFO             PET0     ATM: InitializeIPDvXp01 intro.
20260510 001703.493 INFO             PET0     ATM: InitializeIPDvXp01 extro.
20260510 001703.493 INFO             PET0     OCN: InitializeIPDvXp01 intro.
20260510 001703.495 INFO             PET0     OCN: InitializeIPDvXp01 extro.
20260510 001703.497 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 intro.
20260510 001703.497 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 extro.
20260510 001703.497 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p1 intro.
20260510 001703.498 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p1 extro.
20260510 001703.498 INFO             PET0     esm: IInitAdvertiseFinish intro.
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish intro {IS}:--- StateLog() start -----------------
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish intro {IS}:--- StateLog() end -------------------
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish intro {ES}:--- StateLog() start -----------------
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish intro {ES}:--- StateLog() end -------------------
20260510 001703.498 INFO             PET0       >>>esm: entered Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.498 INFO             PET0       <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish extro {IS}:--- StateLog() start -----------------
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish extro {IS}:State object is invalid! Not created or deleted!
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish extro {IS}:--- StateLog() end -------------------
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish extro {ES}:--- StateLog() start -----------------
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish extro {ES}:State object is invalid! Not created or deleted!
20260510 001703.498 INFO             PET0       esm: IInitAdvertiseFinish extro {ES}:--- StateLog() end -------------------
20260510 001703.498 INFO             PET0     esm: IInitAdvertiseFinish extro.
20260510 001703.499 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2a intro.
20260510 001703.499 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2a extro.
20260510 001703.499 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2a intro.
20260510 001703.499 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2a extro.
20260510 001703.500 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2b intro.
20260510 001703.500 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p2b extro.
20260510 001703.500 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2b intro.
20260510 001703.500 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p2b extro.
20260510 001703.501 INFO             PET0     esm: IInitModifyCplLists intro.
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists intro {IS}:--- StateLog() start -----------------
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists intro {IS}:--- StateLog() end -------------------
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists intro {ES}:--- StateLog() start -----------------
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists intro {ES}:--- StateLog() end -------------------
20260510 001703.501 INFO             PET0       >>>esm: entered Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.501 INFO             PET0       <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists extro {IS}:--- StateLog() start -----------------
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists extro {IS}:State object is invalid! Not created or deleted!
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists extro {IS}:--- StateLog() end -------------------
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists extro {ES}:--- StateLog() start -----------------
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists extro {ES}:State object is invalid! Not created or deleted!
20260510 001703.501 INFO             PET0       esm: IInitModifyCplLists extro {ES}:--- StateLog() end -------------------
20260510 001703.501 INFO             PET0     esm: IInitModifyCplLists extro.
20260510 001703.502 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p3 intro.
20260510 001703.502 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p3 extro.
20260510 001703.503 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p3 intro.
20260510 001703.503 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p3 extro.
20260510 001703.503 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.503 INFO             PET0     esm: InitializeIPDv02p1 extro {IS}:--- StateLog() start -----------------
20260510 001703.503 INFO             PET0     esm: InitializeIPDv02p1 extro {IS}:State object is invalid! Not created or deleted!
20260510 001703.503 INFO             PET0     esm: InitializeIPDv02p1 extro {IS}:--- StateLog() end -------------------
20260510 001703.503 INFO             PET0     esm: InitializeIPDv02p1 extro {ES}:--- StateLog() start -----------------
20260510 001703.503 INFO             PET0     esm: InitializeIPDv02p1 extro {ES}:State object is invalid! Not created or deleted!
20260510 001703.503 INFO             PET0     esm: InitializeIPDv02p1 extro {ES}:--- StateLog() end -------------------
20260510 001703.503 INFO             PET0   esm: InitializeIPDv02p1 extro.
20260510 001703.504 INFO             PET0   esm: InitializeIPDv02p3 intro.
20260510 001703.504 INFO             PET0     esm: InitializeIPDv02p3 intro {IS}:--- StateLog() start -----------------
20260510 001703.504 INFO             PET0     esm: InitializeIPDv02p3 intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.504 INFO             PET0     esm: InitializeIPDv02p3 intro {IS}:--- StateLog() end -------------------
20260510 001703.504 INFO             PET0     esm: InitializeIPDv02p3 intro {ES}:--- StateLog() start -----------------
20260510 001703.504 INFO             PET0     esm: InitializeIPDv02p3 intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.504 INFO             PET0     esm: InitializeIPDv02p3 intro {ES}:--- StateLog() end -------------------
20260510 001703.504 INFO             PET0     >>>esm: entered Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.504 INFO             PET0     esm: IInitCheck intro.
20260510 001703.504 INFO             PET0       esm: IInitCheck intro {IS}:--- StateLog() start -----------------
20260510 001703.504 INFO             PET0       esm: IInitCheck intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.504 INFO             PET0       esm: IInitCheck intro {IS}:--- StateLog() end -------------------
20260510 001703.504 INFO             PET0       esm: IInitCheck intro {ES}:--- StateLog() start -----------------
20260510 001703.504 INFO             PET0       esm: IInitCheck intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.504 INFO             PET0       esm: IInitCheck intro {ES}:--- StateLog() end -------------------
20260510 001703.504 INFO             PET0       >>>esm: entered Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.504 INFO             PET0       <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.504 INFO             PET0       esm: IInitCheck extro {IS}:--- StateLog() start -----------------
20260510 001703.504 INFO             PET0       esm: IInitCheck extro {IS}:State object is invalid! Not created or deleted!
20260510 001703.504 INFO             PET0       esm: IInitCheck extro {IS}:--- StateLog() end -------------------
20260510 001703.504 INFO             PET0       esm: IInitCheck extro {ES}:--- StateLog() start -----------------
20260510 001703.504 INFO             PET0       esm: IInitCheck extro {ES}:State object is invalid! Not created or deleted!
20260510 001703.504 INFO             PET0       esm: IInitCheck extro {ES}:--- StateLog() end -------------------
20260510 001703.504 INFO             PET0     esm: IInitCheck extro.
20260510 001703.504 INFO             PET0     atmA: InitializeIPDvXp04 intro.
20260510 001703.511 INFO             PET0     atmA: InitializeIPDvXp04 extro.
20260510 001703.511 INFO             PET0     ocnA: InitializeIPDvXp04 intro.
20260510 001703.516 INFO             PET0     ocnA: InitializeIPDvXp04 extro.
20260510 001703.518 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p4 intro.
20260510 001703.519 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p4 extro.
20260510 001703.519 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p4 intro.
20260510 001703.519 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p4 extro.
20260510 001703.520 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p5 intro.
20260510 001703.520 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p5 extro.
20260510 001703.521 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p5 intro.
20260510 001703.521 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p5 extro.
20260510 001703.521 INFO             PET0     esm: IInitRealize intro.
20260510 001703.521 INFO             PET0       esm: IInitRealize intro {IS}:--- StateLog() start -----------------
20260510 001703.521 INFO             PET0       esm: IInitRealize intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.521 INFO             PET0       esm: IInitRealize intro {IS}:--- StateLog() end -------------------
20260510 001703.521 INFO             PET0       esm: IInitRealize intro {ES}:--- StateLog() start -----------------
20260510 001703.521 INFO             PET0       esm: IInitRealize intro {ES}:State object is invalid! Not created or deleted!
20260510 001703.521 INFO             PET0       esm: IInitRealize intro {ES}:--- StateLog() end -------------------
20260510 001703.521 INFO             PET0       >>>esm: entered Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.522 INFO             PET0       <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.522 INFO             PET0       esm: IInitRealize extro {IS}:--- StateLog() start -----------------
20260510 001703.522 INFO             PET0       esm: IInitRealize extro {IS}:State object is invalid! Not created or deleted!
20260510 001703.522 INFO             PET0       esm: IInitRealize extro {IS}:--- StateLog() end -------------------
20260510 001703.522 INFO             PET0       esm: IInitRealize extro {ES}:--- StateLog() start -----------------
20260510 001703.522 INFO             PET0       esm: IInitRealize extro {ES}:State object is invalid! Not created or deleted!
20260510 001703.522 INFO             PET0       esm: IInitRealize extro {ES}:--- StateLog() end -------------------
20260510 001703.522 INFO             PET0     esm: IInitRealize extro.
20260510 001703.522 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p6a intro.
20260510 001703.522 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p6a extro.
20260510 001703.522 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p6a intro.
20260510 001703.522 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p6a extro.
20260510 001703.523 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p6b intro.
20260510 001703.592 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p6b extro.
20260510 001703.592 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p6b intro.
20260510 001703.645 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p6b extro.
20260510 001703.645 INFO             PET0     atmA: InitializeIPDvXp07 intro.
20260510 001703.645 INFO             PET0     atmA: InitializeIPDvXp07 extro.
20260510 001703.645 INFO             PET0     ocnA: InitializeIPDvXp07 intro.
20260510 001703.646 INFO             PET0     ocnA: InitializeIPDvXp07 extro.
20260510 001703.646 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p3 extro {IS}:--- StateLog() start -----------------
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p3 extro {IS}:State object is invalid! Not created or deleted!
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p3 extro {IS}:--- StateLog() end -------------------
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p3 extro {ES}:--- StateLog() start -----------------
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p3 extro {ES}:State object is invalid! Not created or deleted!
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p3 extro {ES}:--- StateLog() end -------------------
20260510 001703.646 INFO             PET0   esm: InitializeIPDv02p3 extro.
20260510 001703.646 INFO             PET0   esm: InitializeIPDv02p5 intro.
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p5 intro {IS}:--- StateLog() start -----------------
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p5 intro {IS}:State object is invalid! Not created or deleted!
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p5 intro {IS}:--- StateLog() end -------------------
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p5 intro {ES}:--- StateLog() start -----------------
20260510 001703.646 INFO             PET0     esm: InitializeIPDv02p5 intro {ES}:State object is invalid! Not created or deleted!
