2026-07-13 00:03:27
20260713 060734.818 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260713 060734.836 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260713 060734.836 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260713 060734.836 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260713 060734.838 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260713 060734.838 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260713 060734.838 INFO             PET0 Running with ESMF Version   : develop+gf1c7bb6d5f
20260713 060734.838 INFO             PET0 ESMF library build date/time: "Jul 12 2026" "23:48:17"
20260713 060734.838 INFO             PET0 ESMF library build location : /Users/mathomp4/ESMF_Testing/llvm_22.1_openmpi_O_develop/esmf
20260713 060734.838 INFO             PET0 ESMF_COMM                   : openmpi
20260713 060734.838 INFO             PET0 ESMF_MOAB                   : enabled
20260713 060734.838 INFO             PET0 ESMF_LAPACK                 : enabled
20260713 060734.838 INFO             PET0 ESMF_NETCDF                 : disabled
20260713 060734.838 INFO             PET0 ESMF_PNETCDF                : disabled
20260713 060734.838 INFO             PET0 ESMF_PIO                    : disabled
20260713 060734.838 INFO             PET0 ESMF_YAMLCPP                : enabled
20260713 060734.840 INFO             PET0 esmApp STARTING
20260713 060734.948 INFO             PET0 esm: InitializeGeneric intro.
20260713 060734.948 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260713 060734.948 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260713 060734.948 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260713 060734.948 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260713 060734.948 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260713 060734.948 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260713 060734.948 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260713 060734.948 INFO             PET0   esm: InitializeP0 intro.
20260713 060734.948 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260713 060734.948 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260713 060734.948 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260713 060734.948 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260713 060734.948 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260713 060734.948 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260713 060734.948 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260713 060734.948 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) without valid internal Clock.
20260713 060734.948 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260713 060734.948 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260713 060734.948 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260713 060734.948 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260713 060734.948 INFO             PET0     esm: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
20260713 060734.948 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() end -------------------
20260713 060734.948 INFO             PET0   esm: InitializeP0 extro.
20260713 060734.948 INFO             PET0   esm: InitializeIPDv02p1 intro.
20260713 060734.948 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() start -----------------
20260713 060734.948 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:State object is invalid! Not created or deleted!
20260713 060734.948 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() end -------------------
20260713 060734.948 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() start -----------------
20260713 060734.948 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:State object is invalid! Not created or deleted!
20260713 060734.948 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() end -------------------
20260713 060734.949 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260713 060735.082 INFO             PET0     esm - Creating state: modelComp 1 Import State
20260713 060735.082 INFO             PET0     esm - Creating state: modelComp 1 Export State
20260713 060735.083 INFO             PET0     esm - Creating state: modelComp 2 Import State
20260713 060735.083 INFO             PET0     esm - Creating state: modelComp 2 Export State
20260713 060735.087 INFO             PET0     ATM: InitializeP0 intro.
20260713 060735.091 INFO             PET0     ATM: InitializeP0 extro.
20260713 060735.091 INFO             PET0     OCN: InitializeP0 intro.
20260713 060735.091 INFO             PET0     OCN: InitializeP0 extro.
20260713 060735.219 INFO             PET0     esm: IInitAdvertise intro.
20260713 060735.219 INFO             PET0     esm: IInitAdvertise extro.
20260713 060735.219 INFO             PET0     ATM: InitializeIPDvXp01 intro.
20260713 060735.227 INFO             PET0     ATM: InitializeIPDvXp01 extro.
20260713 060735.227 INFO             PET0     OCN: InitializeIPDvXp01 intro.
20260713 060735.232 INFO             PET0     OCN: InitializeIPDvXp01 extro.
20260713 060735.236 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 intro.
20260713 060735.236 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:--- StateLog() start -----------------
