2026-06-02 23:56:24
20260603 014643.711 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260603 014643.711 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260603 014643.711 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260603 014643.711 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260603 014643.712 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260603 014643.712 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260603 014643.712 INFO             PET0 Running with ESMF Version   : develop+gf183dd1f0b
20260603 014643.712 INFO             PET0 ESMF library build date/time: "Jun  2 2026" "23:54:33"
20260603 014643.712 INFO             PET0 ESMF library build location : /discover/nobackup/projects/gmao/SIteam/ESMF_Testing/nag_7.2.28_openmpi_O_develop/esmf
20260603 014643.712 INFO             PET0 ESMF_COMM                   : openmpi
20260603 014643.712 INFO             PET0 ESMF_MOAB                   : enabled
20260603 014643.712 INFO             PET0 ESMF_LAPACK                 : enabled
20260603 014643.712 INFO             PET0 ESMF_NETCDF                 : enabled
20260603 014643.712 INFO             PET0 ESMF_PNETCDF                : disabled
20260603 014643.712 INFO             PET0 ESMF_PIO                    : enabled
20260603 014643.712 INFO             PET0 ESMF_YAMLCPP                : enabled
20260603 014643.714 INFO             PET0 esmApp STARTING
20260603 014643.826 INFO             PET0 esm: InitializeGeneric intro.
20260603 014643.826 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260603 014643.826 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260603 014643.826 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260603 014643.826 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260603 014643.826 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
