2026-08-03 07:48:44
20260803 090554.422 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260803 090554.422 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260803 090554.422 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260803 090554.422 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260803 090554.423 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260803 090554.423 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260803 090554.423 INFO             PET0 Running with ESMF Version   : develop+g02ff1b231d
20260803 090554.423 INFO             PET0 ESMF library build date/time: "Aug  3 2026" "07:44:17"
20260803 090554.423 INFO             PET0 ESMF library build location : /scratch3/NCEPDEV/stmp/Gerhard.Theurich/ESMF-Nightly-Testing-Hera/nvhpc_24.1_openmpi_O_develop/esmf
20260803 090554.423 INFO             PET0 ESMF_COMM                   : openmpi
20260803 090554.423 INFO             PET0 ESMF_MOAB                   : enabled
20260803 090554.423 INFO             PET0 ESMF_LAPACK                 : enabled
20260803 090554.423 INFO             PET0 ESMF_NETCDF                 : disabled
20260803 090554.423 INFO             PET0 ESMF_PNETCDF                : disabled
20260803 090554.423 INFO             PET0 ESMF_PIO                    : disabled
20260803 090554.423 INFO             PET0 ESMF_YAMLCPP                : enabled
20260803 090554.424 INFO             PET0 esmApp STARTING
20260803 090554.472 INFO             PET0 esm: InitializeGeneric intro.
20260803 090554.472 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260803 090554.472 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260803 090554.472 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260803 090554.472 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260803 090554.472 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260803 090554.472 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260803 090554.473 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260803 090554.473 INFO             PET0   esm: InitializeP0 intro.
20260803 090554.473 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260803 090554.473 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260803 090554.473 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260803 090554.473 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260803 090554.473 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260803 090554.473 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260803 090554.473 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260803 090554.473 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) without valid internal Clock.
20260803 090554.473 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260803 090554.473 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260803 090554.473 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260803 090554.473 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260803 090554.473 INFO             PET0     esm: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
20260803 090554.473 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() end -------------------
20260803 090554.473 INFO             PET0   esm: InitializeP0 extro.
20260803 090554.473 INFO             PET0   esm: InitializeIPDv02p1 intro.
20260803 090554.473 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() start -----------------
20260803 090554.473 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:State object is invalid! Not created or deleted!
20260803 090554.473 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() end -------------------
20260803 090554.473 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() start -----------------
20260803 090554.473 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:State object is invalid! Not created or deleted!
20260803 090554.473 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() end -------------------
20260803 090554.473 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260803 090554.480 INFO             PET0     esm - Creating state: modelComp 1 Import State
20260803 090554.480 INFO             PET0     esm - Creating state: modelComp 1 Export State
20260803 090554.481 INFO             PET0     esm - Creating state: modelComp 2 Import State
20260803 090554.481 INFO             PET0     esm - Creating state: modelComp 2 Export State
20260803 090554.482 INFO             PET0     ATM: InitializeP0 intro.
20260803 090554.483 INFO             PET0     ATM: InitializeP0 extro.
20260803 090554.483 INFO             PET0     OCN: InitializeP0 intro.
20260803 090554.483 INFO             PET0     OCN: InitializeP0 extro.
20260803 090554.494 INFO             PET0     esm: IInitAdvertise intro.
20260803 090554.494 INFO             PET0     esm: IInitAdvertise extro.
20260803 090554.494 INFO             PET0     ATM: InitializeIPDvXp01 intro.
20260803 090554.497 INFO             PET0     ATM: InitializeIPDvXp01 extro.
20260803 090554.497 INFO             PET0     OCN: InitializeIPDvXp01 intro.
20260803 090554.499 INFO             PET0     OCN: InitializeIPDvXp01 extro.
20260803 090554.500 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 intro.
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:--- StateLog() start -----------------
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:<name: ATM-ExportState> <intent: ESMF_STATEINTENT_EXPORT> <itemCount:    2>
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:+-<item: 0001> <itemType: Field> <itemName: pmsl>
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:!--- FieldLog() start -----------------
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:! <name: pmsl> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:! 0x7ffd3e06eed0 => 0x988a00 => 0x98dd90
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:!--- FieldLog() end -------------------
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:+-<item: 0002> <itemType: Field> <itemName: rsns>
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:!--- FieldLog() start -----------------
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:! <name: rsns> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:! 0x7ffd3e06eed0 => 0x987e80 => 0xa9a7b0
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:!--- FieldLog() end -------------------
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {IS}:--- StateLog() end -------------------
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:--- StateLog() start -----------------
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:<name: OCN-ImportState> <intent: ESMF_STATEINTENT_IMPORT> <itemCount:    2>
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:+-<item: 0001> <itemType: Field> <itemName: pmsl>
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:!--- FieldLog() start -----------------
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:! <name: pmsl> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260803 090554.500 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:! 0x7ffd3e06eed0 => 0x986fd0 => 0xa9c480
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:!--- FieldLog() end -------------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:+-<item: 0002> <itemType: Field> <itemName: rsns>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:!--- FieldLog() start -----------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:! <name: rsns> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:! 0x7ffd3e06eed0 => 0xa9e050 => 0xa9e280
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:!--- FieldLog() end -------------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 intro {ES}:--- StateLog() end -------------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: importState FieldTransferPolicy = transferNone
20260803 090554.501 INFO             PET0       ATM-TO-OCN: exportState FieldTransferPolicy = transferNone
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:--- StateLog() start -----------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:<name: ATM-ExportState> <intent: ESMF_STATEINTENT_EXPORT> <itemCount:    2>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:+-<item: 0001> <itemType: Field> <itemName: pmsl>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:!--- FieldLog() start -----------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:! <name: pmsl> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:! 0x7ffd3e06f000 => 0x988a00 => 0x98dd90
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:!--- FieldLog() end -------------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:+-<item: 0002> <itemType: Field> <itemName: rsns>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:!--- FieldLog() start -----------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:! <name: rsns> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:! 0x7ffd3e06f000 => 0x987e80 => 0xa9a7b0
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:!--- FieldLog() end -------------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {IS}:--- StateLog() end -------------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:--- StateLog() start -----------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:<name: OCN-ImportState> <intent: ESMF_STATEINTENT_IMPORT> <itemCount:    2>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:+-<item: 0001> <itemType: Field> <itemName: pmsl>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:!--- FieldLog() start -----------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:! <name: pmsl> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:! 0x7ffd3e06f000 => 0x986fd0 => 0xa9c480
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:!--- FieldLog() end -------------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:+-<item: 0002> <itemType: Field> <itemName: rsns>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:!--- FieldLog() start -----------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:! <name: rsns> <fieldStatus: ESMF_FIELDSTATUS_EMPTY>
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:! 0x7ffd3e06f000 => 0xa9e050 => 0xa9e280
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:!--- FieldLog() end -------------------
20260803 090554.501 INFO             PET0       ATM-TO-OCN: InitializeIPDv05p1 extro {ES}:--- StateLog() end -------------------
20260803 090554.501 INFO             PET0     ATM-TO-OCN: InitializeIPDv05p1 extro.
20260803 090554.502 INFO             PET0     OCN-TO-ATM: InitializeIPDv05p1 intro.
20260803 090554.502 INFO             PET0       OCN-TO-ATM: InitializeIPDv05p1 intro {IS}:--- StateLog() start -----------------
20260803 090554.502 INFO             PET0       OCN-TO-ATM: InitializeIPDv05p1 intro {IS}:<name: OCN-ExportState> <intent: ESMF_STATEINTENT_EXPORT> <itemCount:    1>
20260803 090554.502 INFO             PET0       OCN-TO-ATM: InitializeIPDv05p1 intro {IS}:+-<item: 0001> <itemType: Field> <itemName: sst>
20260803 090554.502 INFO             PET0       OCN-TO-ATM: InitializeIPDv05p1 intro {IS}:!--- FieldLog() start -----------------
