2026-07-25 07:47:38
20260725 090952.605 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260725 090952.605 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260725 090952.605 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260725 090952.605 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260725 090952.606 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260725 090952.606 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260725 090952.606 INFO             PET0 Running with ESMF Version   : develop+g6f2cfc7ce0
20260725 090952.606 INFO             PET0 ESMF library build date/time: "Jul 25 2026" "07:43:23"
20260725 090952.606 INFO             PET0 ESMF library build location : /scratch3/NCEPDEV/stmp/Gerhard.Theurich/ESMF-Nightly-Testing-Hera/nvhpc_24.1_openmpi_O_develop/esmf
20260725 090952.606 INFO             PET0 ESMF_COMM                   : openmpi
20260725 090952.606 INFO             PET0 ESMF_MOAB                   : enabled
20260725 090952.606 INFO             PET0 ESMF_LAPACK                 : enabled
20260725 090952.606 INFO             PET0 ESMF_NETCDF                 : disabled
20260725 090952.606 INFO             PET0 ESMF_PNETCDF                : disabled
20260725 090952.606 INFO             PET0 ESMF_PIO                    : disabled
20260725 090952.606 INFO             PET0 ESMF_YAMLCPP                : enabled
20260725 090952.607 INFO             PET0 esmApp STARTING
20260725 090952.610 INFO             PET0 esm: InitializeGeneric intro.
20260725 090952.610 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260725 090952.610 INFO             PET0   esm: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260725 090952.610 INFO             PET0   esm: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260725 090952.610 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260725 090952.610 INFO             PET0   esm: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260725 090952.610 INFO             PET0   esm: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260725 090952.611 INFO             PET0   >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260725 090952.611 INFO             PET0   esm: InitializeP0 intro.
20260725 090952.611 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260725 090952.611 INFO             PET0     esm: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260725 090952.611 INFO             PET0     esm: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260725 090952.611 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260725 090952.611 INFO             PET0     esm: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260725 090952.611 INFO             PET0     esm: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260725 090952.611 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260725 090952.611 INFO             PET0     <<<esm: leaving Initialize (phase=<none>) without valid internal Clock.
20260725 090952.611 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260725 090952.611 INFO             PET0     esm: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260725 090952.611 INFO             PET0     esm: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260725 090952.611 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260725 090952.611 INFO             PET0     esm: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
20260725 090952.611 INFO             PET0     esm: InitializeP0 extro {ES}:--- StateLog() end -------------------
20260725 090952.611 INFO             PET0   esm: InitializeP0 extro.
20260725 090952.611 INFO             PET0   esm: InitializeIPDv02p1 intro.
20260725 090952.611 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() start -----------------
20260725 090952.611 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:State object is invalid! Not created or deleted!
20260725 090952.611 INFO             PET0     esm: InitializeIPDv02p1 intro {IS}:--- StateLog() end -------------------
20260725 090952.611 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() start -----------------
20260725 090952.611 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:State object is invalid! Not created or deleted!
20260725 090952.611 INFO             PET0     esm: InitializeIPDv02p1 intro {ES}:--- StateLog() end -------------------
20260725 090952.612 INFO             PET0     >>>esm: entered Initialize (phase=<none>) without valid internal Clock.
20260725 090952.614 INFO             PET0     esm - Creating model component ATM without petList.
20260725 090952.617 INFO             PET0     esm - Creating model component OCN without petList.
20260725 090952.619 INFO             PET0     esm - Creating connector component ATM-TO-OCN without petList.
20260725 090952.622 INFO             PET0     esm - Creating connector component OCN-TO-ATM without petList.
20260725 090952.627 INFO             PET0     esm - Creating state: modelComp 1 Import State
20260725 090952.627 INFO             PET0     esm - Creating state: modelComp 1 Export State
20260725 090952.627 INFO             PET0     esm - Creating state: modelComp 2 Import State
20260725 090952.628 INFO             PET0     esm - Creating state: modelComp 2 Export State
20260725 090952.629 INFO             PET0     ATM: InitializeP0 intro.
20260725 090952.630 INFO             PET0     ATM: InitializeP0 extro.
20260725 090952.630 INFO             PET0     OCN: InitializeP0 intro.
20260725 090952.631 INFO             PET0     OCN: InitializeP0 extro.
20260725 090952.632 INFO             PET0     ATM-TO-OCN: InitializeP0 intro.
20260725 090952.632 INFO             PET0     ATM-TO-OCN: InitializeP0 extro.
20260725 090952.633 INFO             PET0     OCN-TO-ATM: InitializeP0 intro.
20260725 090952.633 INFO             PET0     OCN-TO-ATM: InitializeP0 extro.
20260725 090952.634 INFO             PET0     esm: IInitAdvertise intro.
20260725 090952.634 INFO             PET0       esm: IInitAdvertise intro {IS}:--- StateLog() start -----------------
20260725 090952.634 INFO             PET0       esm: IInitAdvertise intro {IS}:State object is invalid! Not created or deleted!
20260725 090952.634 INFO             PET0       esm: IInitAdvertise intro {IS}:--- StateLog() end -------------------
20260725 090952.634 INFO             PET0       esm: IInitAdvertise intro {ES}:--- StateLog() start -----------------
20260725 090952.634 INFO             PET0       esm: IInitAdvertise intro {ES}:State object is invalid! Not created or deleted!
20260725 090952.634 INFO             PET0       esm: IInitAdvertise intro {ES}:--- StateLog() end -------------------
20260725 090952.634 INFO             PET0       >>>esm: entered Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260725 090952.634 INFO             PET0       <<<esm: leaving Initialize (phase=<none>) with current time: 2010  6  1  0  0  0   0
20260725 090952.634 INFO             PET0       esm: IInitAdvertise extro {IS}:--- StateLog() start -----------------
20260725 090952.634 INFO             PET0       esm: IInitAdvertise extro {IS}:State object is invalid! Not created or deleted!
20260725 090952.635 INFO             PET0       esm: IInitAdvertise extro {IS}:--- StateLog() end -------------------
20260725 090952.635 INFO             PET0       esm: IInitAdvertise extro {ES}:--- StateLog() start -----------------
